setting,dataset,sample_id,candidate,psnr,ssim,vccrp
structure_only,kligler,natiCSY04_15,docres_classical040_blend_0.80,29.413465687754794,0.9500588774681091,0.19538336864571715
structure_only,kligler,natiCSY06_02,docres_classical040_blend_0.95,23.867873666428913,0.9278667569160461,0.2630072841270157
structure_only,kligler,natiCSY06_04,docres_classical040_blend_0.80,23.72299074003007,0.9225780963897705,0.3025550546100402
structure_only,kligler,natiCSY06_11,docres_deshadow,26.003244631967096,0.941313624382019,0.19476040663148841
structure_only,kligler,natiCSY06_12,docres_classical040_blend_0.95,23.48762615165453,0.9286542534828186,0.3387138430179033
structure_only,kligler,natiCSY06_14,docres_classical040_blend_0.95,26.126793950200184,0.9367345571517944,0.19478121735523535
structure_only,kligler,natiCSY07_08,docres_classical040_blend_0.95,28.759260833287005,0.9695141911506653,0.1908691141266432
structure_only,kligler,natiCSY07_13,docres_classical040_blend_0.90,24.871719170604095,0.9659446477890015,0.18840579714186934
structure_foreground,compound_proxy,000004_jung_005_v00,docres_deshadow,15.514459453136686,0.47388091683387756,0.0995117147309208
structure_foreground,compound_proxy,000004_jung_005_v01,docres_classical040_blend_0.80,17.176390132057236,0.48723867535591125,0.7450176290111494
structure_foreground,compound_proxy,000005_jung_006_v00,classical_shadow_0.40,21.963546739754037,0.9600828289985657,0.089342090226083
structure_foreground,compound_proxy,000005_jung_006_v01,docres_classical040_blend_0.70,20.248213077392823,0.747131884098053,0.18047386746738964
structure_foreground,compound_proxy,000013_jung_014_v00,docres_classical040_blend_0.95,16.494341073961177,0.5168617963790894,0.4812828312220281
structure_foreground,compound_proxy,000013_jung_014_v01,docres_classical040_blend_0.70,16.942845655058253,0.9326483607292175,0.25677471286714687
structure_foreground,compound_proxy,000016_jung_017_v00,classical_shadow_0.40,17.312870775055874,0.4676584005355835,0.15017623219342155
structure_foreground,compound_proxy,000016_jung_017_v01,docres_classical040_blend_0.70,29.08083805031829,0.9949883818626404,0.3939328372034973
structure_foreground,compound_proxy,000023_jung_024_v00,docres_classical040_blend_0.70,20.80795269629536,0.9872657060623169,0.2925148897063352
structure_foreground,compound_proxy,000023_jung_024_v01,docres_input_blend_0.80,19.177435414437596,0.6348728537559509,0.42777168031048063
structure_foreground,compound_proxy,000025_jung_026_v00,docres_input_blend_0.70,18.81233912724546,0.7591919898986816,0.2617160931653593
structure_foreground,compound_proxy,000025_jung_026_v01,docres_input_blend_0.70,25.393143681495545,0.9169530272483826,0.40475822003625117
structure_foreground,compound_proxy,000030_jung_031_v00,docres_classical040_blend_0.90,24.767116168264995,0.8610636591911316,0.4697170005075072
structure_foreground,compound_proxy,000030_jung_031_v01,docres_classical040_blend_0.70,25.480382615020886,0.9891568422317505,0.43103851781561553
structure_foreground,compound_proxy,000031_jung_032_v00,classical_shadow_0.40,22.49922346094474,0.9907900094985962,0.23720829736621774
