dataset,sample_id,method,psnr,ssim,edge_jaccard,edge_keep,foreground_shift,mean_shift,contrast_shift,contrast_after,sharp_after,content_risk
mixeddoc,mixeddoc_00014,docres_input_blend_0.80,14.767740503732558,0.3355502486228943,0.6545148625868701,0.7785733679841744,0.06384249084249084,0.01431526251526253,0.03594815994338526,32.4402643176146,839.3312481482076,0.24660580365053547
mixeddoc,mixeddoc_00014,region_controller,14.628916101473603,0.33433157205581665,0.6585458201098107,0.7825918311935146,0.0559010989010989,0.011462630180277216,0.033890502369606966,32.96496699892806,841.1041794818126,0.23447483334555916
mixeddoc,mixeddoc_00015,classical_shadow_0.40,12.13711082944674,0.5165444612503052,0.8135163110485573,0.8847250213337691,0.021197802197802196,0.06973644329526678,0.1006844954032301,59.354970219923416,261.1541444045908,0.19342073678599622
mixeddoc,mixeddoc_00015,docres_deshadow,12.682347973371657,0.5427610874176025,0.7653869499125132,0.9157906204041615,0.07915384615384616,0.059492551892551836,0.06617873438522807,68.15393927951393,388.90472182574564,0.24823398008137276
mixeddoc,mixeddoc_00015,docres_input_blend_0.90,12.794368905973734,0.5416510701179504,0.7736865463665016,0.9178967627140185,0.06923809523809524,0.05319691876750702,0.061638391899702535,69.31172661332295,373.0935918769842,0.22934095201999385
mixeddoc,mixeddoc_00015,docres_input_blend_0.80,12.87823247888297,0.5404011011123657,0.786212645085419,0.9247780380195,0.058595238095238096,0.047209358615240976,0.056538434965257046,70.61221563160655,358.0644270149036,0.20760635223205018
mixeddoc,mixeddoc_00015,region_controller,12.933742254982564,0.5397851467132568,0.7859823621050245,0.9239791564536921,0.053144688644688645,0.04403642893054657,0.053531821637202416,71.37890203026048,349.4878326375504,0.1991862902519677
mixeddoc,mixeddoc_00016,classical_shadow_0.40,15.19812459859915,0.7115169167518616,0.9175412822363809,0.9581369661266569,0.03070048309178744,0.10338812745462368,0.09110977584020769,77.53634097232774,4183.468921043138,0.16382802257139012
mixeddoc,mixeddoc_00016,docres_deshadow,20.117941545904774,0.7547435760498047,0.8561803369859433,0.9248281786941581,0.045143069490895575,0.02482637841461376,0.03262765500846369,92.44928178442245,3737.708225986977,0.1393690622181448
mixeddoc,mixeddoc_00016,docres_input_blend_0.90,20.717318206112036,0.761932373046875,0.8679230170617886,0.9309401080019637,0.04223151244890375,0.022452131651620195,0.029770846868564817,93.17776786009667,3776.6299760453817,0.12850951555288584
mixeddoc,mixeddoc_00016,docres_input_blend_0.80,21.335361733337045,0.7692455649375916,0.8800299263250457,0.938352970054001,0.03889446302489781,0.02004253102207071,0.026840517250749773,93.9250019126395,3819.8891515232726,0.11700231893790537
mixeddoc,mixeddoc_00016,region_controller,21.528658708497606,0.7737036943435669,0.8852362477381504,0.9409057437407953,0.03743032329988852,0.01692626838918404,0.026245194685840963,94.07680916669125,3835.383396658331,0.11159163598489906
mixeddoc,mixeddoc_00017,classical_shadow_0.40,14.33548285775029,0.385050505399704,0.9177013098247411,0.9650964314770207,0.03666292974588939,0.008126886778627723,0.0031223468502389134,22.8486836824805,743.4392169987865,0.07882150314635035
mixeddoc,mixeddoc_00017,docres_deshadow,14.22245371693502,0.3893639147281647,0.9007642338486759,0.9401071992598147,0.016444319880418536,0.0009582710513203598,0.0022170567123357536,23.079532667645807,692.3296063664505,0.06281395709644398
mixeddoc,mixeddoc_00017,docres_input_blend_0.90,14.221627287210659,0.3892848789691925,0.9012764656355479,0.9404980298945554,0.01617899850523169,0.0010244951493302555,0.0021505773279357236,23.096484910667815,692.7646714143121,0.06230473342572869
mixeddoc,mixeddoc_00017,docres_input_blend_0.80,14.220730128759607,0.38898220658302307,0.9063141290628632,0.9440633624196404,0.015562406576980568,0.001058361909786317,0.0020096604652959857,23.13241871064095,694.2471662734101,0.05935018954178423
mixeddoc,mixeddoc_00017,region_controller,14.212368233836838,0.38822486996650696,0.9174522136207119,0.951728428541803,0.0118796711509716,0.002031565989624614,0.0016213387294821144,23.231440753273485,696.2365276716157,0.050811604655190336
mixeddoc,mixeddoc_00018,classical_shadow_0.40,12.965925815535169,0.7584953904151917,0.9224011088405502,0.9503680105459739,0.02617713004484305,0.08849099475365635,0.10820131911594133,61.932536374423925,2232.278606005159,0.1614138204376228
mixeddoc,mixeddoc_00018,docres_deshadow,19.51365299158436,0.834809422492981,0.79563678115404,0.9134571020542678,0.23220852017937219,0.1661560567425775,0.13053535737156155,56.23735661924077,2414.7156320704003,0.4689556057800221
