sample_id,method,candidate,clean_char_count,input_char_count,char_count,line_count,mean_conf,ocr_proxy_cer_to_clean,ocr_drift_from_input,conf_gain_vs_input,char_gain_vs_input,line_gain_vs_input
mixeddoc_00166,input,input,196,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00166,classical_shadow_0.40,classical_shadow_0.40,196,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00166,docres_deshadow,docres_deshadow,196,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00166,no_qwen_selected,docres_input_blend_0.90,196,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00166,qwen_selected,docres_deshadow,196,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00484,input,input,4463,4244,4244,150,0.862069456509988,0.2959892449025319,0.0,0.0,0,0
mixeddoc_00484,classical_shadow_0.40,classical_shadow_0.40,4463,4244,4247,150,0.8600653080332287,0.3015908581671521,0.0105957146220861,-0.0020041484767593,3,0
mixeddoc_00484,docres_deshadow,docres_deshadow,4463,4244,4253,148,0.8687317702147637,0.3269101501232355,0.0999294615565483,0.0066623137047756,9,-2
mixeddoc_00484,no_qwen_selected,docres_classical040_blend_0.90,4463,4244,4226,149,0.8646512217927879,0.3246695048173874,0.1006126295947219,0.0025817652827998,-18,-1
mixeddoc_00484,qwen_selected,docres_deshadow,4463,4244,4253,148,0.8687317702147637,0.3269101501232355,0.0999294615565483,0.0066623137047756,9,-2
mixeddoc_00670,input,input,4118,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00670,classical_shadow_0.40,classical_shadow_0.40,4118,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00670,docres_deshadow,docres_deshadow,4118,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00670,no_qwen_selected,docres_input_blend_0.80,4118,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00670,qwen_selected,docres_deshadow,4118,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00845,input,input,1935,1851,1851,101,0.7353673983518672,0.2459948320413436,0.0,0.0,0,0
mixeddoc_00845,classical_shadow_0.40,classical_shadow_0.40,1935,1851,1867,102,0.7353017342331557,0.2434108527131783,0.0562399571505088,-6.566411871145039e-05,16,1
