dataset,sample_id,candidate,niqe,musiq,psnr,ssim,content_risk,selector,deqadoc
jung,jung_069,classical_shadow_0.70,3.3251788509240807,46.42744827270508,22.479723427674827,0.8571010828018188,0.345986847907536,NIQE selector restricted16,
jung,jung_074,classical_shadow_0.70,3.5859398927546557,56.03474426269531,14.41799400658101,0.8078306317329407,0.3434041115005305,NIQE selector restricted16,
jung,jung_075,classical_shadow_0.70,4.648150325097634,56.024192810058594,21.88879767238559,0.9460851550102234,0.3499766050760165,NIQE selector restricted16,
jung,jung_082,classical_shadow_0.70,3.551628288923089,49.22362518310547,22.403505790642654,0.95300954580307,0.1072333938780349,NIQE selector restricted16,
kligler,natiCHW01_06,input,4.472165819587322,58.95292663574219,11.49763586455644,0.805308997631073,2.2663171339587508e-11,NIQE selector restricted16,
kligler,natiCHW02_04,docres_deshadow,3.682782520827927,54.35810470581055,12.157915862007362,0.8540002703666687,0.4336833567688521,NIQE selector restricted16,
kligler,natiCHW02_05,docres_deshadow,3.664127466028944,53.461708068847656,12.305148750751089,0.8473129272460938,0.4915840853129712,NIQE selector restricted16,
kligler,natiCHW03_05,classical_shadow_0.70,4.216488800300457,45.12123107910156,15.169729016893273,0.8958765268325806,0.5041749142781716,NIQE selector restricted16,
kligler,natiCHW04_03,classical_shadow_0.70,4.649168606392809,54.13811492919922,15.442041157358688,0.9062057733535768,0.4412973435975962,NIQE selector restricted16,
kligler,natiCHW04_05,classical_shadow_0.70,4.398569862613101,54.42351150512695,16.235179445436568,0.9078607559204102,0.3745855122965741,NIQE selector restricted16,
kligler,natiCHW04_12,classical_shadow_0.70,4.394016903662223,56.22296142578125,15.115170129231933,0.9073274731636048,0.3706992930666832,NIQE selector restricted16,
kligler,natiCPO01_02,docres_deshadow,3.7341221417829473,39.67006301879883,12.836709824664878,0.8951156735420227,0.5520596596897926,NIQE selector restricted16,
kligler,natiCPO02_02,classical_shadow_0.70,4.737385337510037,56.44502639770508,18.377116072537635,0.9452399611473083,0.4083344208295615,NIQE selector restricted16,
kligler,natiCPO03_01,classical_shadow_0.70,5.321093754387201,39.9055061340332,15.299072811310142,0.900994837284088,0.4743419150328628,NIQE selector restricted16,
kligler,natiCPO03_09,classical_shadow_0.70,4.689393464598204,40.05546569824219,15.542674939315832,0.8982834219932556,0.4790687629809657,NIQE selector restricted16,
kligler,natiCPO04_04,classical_shadow_0.70,5.232820089257628,43.5393180847168,15.969474251738738,0.909956693649292,0.43623381820089,NIQE selector restricted16,
kligler,natiCPO04_08,classical_shadow_0.70,5.69263769309173,44.53116989135742,16.031779808987714,0.9122048616409302,0.4443736466619396,NIQE selector restricted16,
kligler,natiCPO05_01,docres_deshadow,4.089495250111121,63.01947021484375,27.794944500292964,0.9649247527122498,0.2598233219562694,NIQE selector restricted16,
kligler,natiCPO06_04,classical_shadow_0.70,5.275188443949117,50.31352233886719,14.270993319515568,0.8723548054695129,0.4889546795744479,NIQE selector restricted16,
kligler,natiCPO06_05,classical_shadow_0.70,5.393856144526199,49.3675651550293,14.747098530290302,0.8741998076438904,0.5057038922962774,NIQE selector restricted16,
kligler,natiCPO06_06,classical_shadow_0.70,5.21368734703534,49.43593215942383,14.50922177028696,0.8765057921409607,0.5104492504145555,NIQE selector restricted16,
kligler,natiCPO06_10,classical_shadow_0.70,5.289232658919485,50.36741638183594,14.111100151625855,0.8375464081764221,0.5527782578490158,NIQE selector restricted16,
kligler,natiCPO07_03,classical_shadow_0.70,4.62119725894061,41.79275894165039,16.332925434299874,0.9026836156845092,0.6191994387889589,NIQE selector restricted16,
kligler,natiCPO07_09,classical_shadow_0.70,4.875454756212992,40.99593353271485,15.359992517510062,0.860007107257843,0.5740657857031185,NIQE selector restricted16,
kligler,natiCPO07_12,classical_shadow_0.70,4.568347189561144,40.33260345458984,15.046094719179134,0.8645659685134888,0.5519550348882424,NIQE selector restricted16,
kligler,natiCPO08_01,docres_appearance,5.678633687613042,59.38546371459961,13.68362928575958,0.906341314315796,0.4448233630250636,NIQE selector restricted16,
kligler,natiCPO08_02,docres_deshadow,5.171654566517168,63.369964599609375,27.34083609152925,0.9727807641029358,0.3461007163268391,NIQE selector restricted16,
kligler,natiCPO08_05,docres_appearance,5.341221185569613,59.368106842041016,13.505715225059426,0.9013870358467102,0.4465799972901827,NIQE selector restricted16,
kligler,natiCPO08_06,docres_appearance,5.370403024116102,59.75408935546875,13.783043914629614,0.8947057723999023,0.4435313274317993,NIQE selector restricted16,
kligler,natiCPR01_01,classical_shadow_0.70,4.556517939676944,58.03989410400391,17.06194860496333,0.9137601256370544,0.400704013979514,NIQE selector restricted16,
kligler,natiCPR01_10,classical_shadow_0.40,4.60706209359571,61.453590393066406,20.876218141866453,0.9165777564048768,0.2724986924085499,NIQE selector restricted16,
kligler,natiCPR01_11,classical_shadow_0.40,4.742105711239424,60.93502426147461,21.929537106927597,0.9077739119529724,0.1318557883091236,NIQE selector restricted16,
kligler,natiCPR01_14,classical_shadow_0.70,4.542116647613338,57.774192810058594,16.424456231571572,0.873390257358551,0.3901223521805528,NIQE selector restricted16,
kligler,natiCPR02_10,classical_shadow_0.70,4.395297827664805,55.56282806396485,15.864707625345078,0.8947296738624573,0.4263633236967684,NIQE selector restricted16,
kligler,natiCPR02_12,classical_shadow_0.25,4.331105489797319,55.11914825439453,18.02454198745569,0.899559736251831,0.1231233746608286,NIQE selector restricted16,
kligler,natiCPR03_07,classical_shadow_0.70,4.467776464547713,55.39503479003906,15.309172114813682,0.9124613404273988,0.3874499202196497,NIQE selector restricted16,
kligler,natiCPR03_09,classical_shadow_0.25,4.421753957143518,58.52853393554688,21.46360832586399,0.938687026500702,0.107307675499448,NIQE selector restricted16,
kligler,natiCPR03_11,classical_shadow_0.70,3.795932667407463,54.860084533691406,16.353664585918676,0.9191056489944458,0.4397906588262266,NIQE selector restricted16,
